Date,Value_Brazil_Index
12/01/18,5527.0729
15/01/18,5523.2644
16/01/18,5550.534
17/01/18,5595.68715
18/01/18,5609.7021
19/01/18,5629.806
22/01/18,5620.4033
23/01/18,5535.0056
24/01/18,5622.4512
25/01/18,5701.74155
26/01/18,5664.5972
29/01/18,5547.192
30/01/18,5497.7208
31/01/18,5446.235
01/02/18,5538.1088
02/02/18,5477.3433
05/02/18,5431.3752
06/02/18,5453.7693
07/02/18,5408.5192
08/02/18,5413.417
09/02/18,5386.9
14/02/18,5447.218
15/02/18,5449.392
16/02/18,5493.59325
19/02/18,5500.4425
20/02/18,5492.9934
21/02/18,5518.14575
22/02/18,5583.9515
23/02/18,5561.8245
26/02/18,5577.9924
27/02/18,5611.0356
28/02/18,5676.5305
01/03/18,5701.102
02/03/18,5736.099
05/03/18,5783.97375
06/03/18,5895.9702
07/03/18,5867.0984
08/03/18,5876.3773
09/03/18,5958.28625
12/03/18,5937.67945
13/03/18,5918.6673
14/03/18,5919.892
15/03/18,5894.593
16/03/18,5932.9371
19/03/18,5884.1484
20/03/18,5878.0294
21/03/18,5973.747
22/03/18,5929.11235
23/03/18,5901.7419
26/03/18,5890.64775
27/03/18,5858.039
28/03/18,5856.5808
29/03/18,5928.72075
02/04/18,5897.5215
03/04/18,5863.65
04/04/18,5878.11665
05/04/18,5895.9054
06/04/18,5872.2692
09/04/18,5871.932
10/04/18,5913.6975
11/04/18,6033.9396
12/04/18,5992.9691
13/04/18,6010.63805
16/04/18,6049.428
17/04/18,6142.3936
18/04/18,6191.4812
19/04/18,6177.2886
20/04/18,6238.3062
23/04/18,6281.0973
24/04/18,6257.1502
25/04/18,6269.7348
26/04/18,6345.80695
27/04/18,6375.534
30/04/18,6277.147
02/05/18,6256.8558
03/05/18,6292.9813
04/05/18,6355.9184
07/05/18,6391.728
08/05/18,6398.1603
09/05/18,6427.2105
10/05/18,6511.33335
11/05/18,6503.608
14/05/18,6538.4568
15/05/18,6595.5904
16/05/18,6595.863
17/05/18,6527.1248
18/05/18,6499.844
21/05/18,6659.60355
22/05/18,6806.7614
23/05/18,6856.8273
24/05/18,6860.6526
25/05/18,6770.9681
28/05/18,6665.86
29/05/18,6678.1696
30/05/18,6707.5824
01/06/18,6621.11585
04/06/18,6682.8548
05/06/18,6568.419
06/06/18,6498.8532
07/06/18,6408.9452
08/06/18,6805.6734
11/06/18,6808.3977
12/06/18,6823.5776
13/06/18,6855.82075
14/06/18,6681.003
15/06/18,6876.1018
18/06/18,6816.2472
19/06/18,6846.7113
20/06/18,6808.7224
21/06/18,6755.77135
22/06/18,6767.9964
25/06/18,6735.2112
26/06/18,6685.2186
27/06/18,6511.1904
28/06/18,6490.2352
29/06/18,6316.1196
02/07/18,6234.2784
03/07/18,6160.5885
04/07/18,6065.327
05/07/18,6026.3112
06/07/18,5990.85135
09/07/18,6006.3768
10/07/18,6132.25845
11/07/18,6031.7448
12/07/18,6038.6676
13/07/18,6079.375
16/07/18,6028.9725
17/07/18,6020.4714
18/07/18,6061.64625
19/07/18,6054.4344
20/07/18,6157.0418
23/07/18,6119.63205
24/07/18,6161.79339
25/07/18,6206.319
26/07/18,6149.1896
27/07/18,6174.45
30/07/18,6120.25205
31/07/18,6025.8492
01/08/18,6004.5475
02/08/18,6024.58875
03/08/18,6090.9087
06/08/18,6059.7932
07/08/18,5972.1826
08/08/18,5952.1354
09/08/18,5895.4824
10/08/18,5797.0935
13/08/18,5787.153
14/08/18,5822.0712
15/08/18,5772.5952
16/08/18,5774.7151
17/08/18,5734.18
20/08/18,5640.0596
21/08/18,5548.2812
22/08/18,5497.3716
23/08/18,5423.3228
24/08/18,5426.8732
27/08/18,5442.69905
28/08/18,5345.826
29/08/18,5412.15055
30/08/18,5382.2796
31/08/18,5524.189
03/09/18,5428.71945
04/09/18,5466.94645
05/09/18,5481.36445
06/09/18,5522.882
10/09/18,5585.55595
11/09/18,5511.9232
12/09/18,5481.2736
13/09/18,5422.22499
14/09/18,5449.2228
17/09/18,5559.4656
18/09/18,5566.6776
19/09/18,5551.4592
20/09/18,5609.24835
21/09/18,5663.616
24/09/18,5658.8129
25/09/18,5638.9023
26/09/18,5709.99
27/09/18,5770.0407
28/09/18,5687.6844
01/10/18,5774.93075
02/10/18,5879.94275
03/10/18,5935.81085
04/10/18,5965.5026
05/10/18,6025.5336
08/10/18,6177.021
09/10/18,6274.296
10/10/18,6131.565
11/10/18,6036.556
15/10/18,6081.5988
16/10/18,6055.71995
17/10/18,6044.032
18/10/18,5966.2242
19/10/18,5945.57625
22/10/18,5963.5092
23/10/18,5951.666
24/10/18,5812.9974
25/10/18,5871.5814
26/10/18,5967.8904
29/10/18,5803.738
30/10/18,5839.14
31/10/18,5836.9232
01/11/18,5803.67955
05/11/18,5707.548
06/11/18,5671.5217
07/11/18,5645.304
08/11/18,5656.497
09/11/18,5657.064
12/11/18,5677.9798
13/11/18,5563.03515
14/11/18,5587.3937
16/11/18,5666.2656
19/11/18,5576.9868
20/11/18,5572.9686
21/11/18,5521.14615
22/11/18,5428.992
23/11/18,5396.6289
26/11/18,5315.041
27/11/18,5322.32415
28/11/18,5411.024
29/11/18,5320.725
30/11/18,5287.828
03/12/18,5416.836
04/12/18,5365.9224
05/12/18,5367.4992
06/12/18,5355.5515
07/12/18,5415.1212
10/12/18,5494.8404
11/12/18,5509.29711
12/12/18,5597.0544
13/12/18,5560.7422
14/12/18,5519.1408
17/12/18,5530.4403
18/12/18,5481.5244
19/12/18,5521.82103
20/12/18,5533.3186
21/12/18,5499.6774
26/12/18,5459.1537
27/12/18,5509.2663
28/12/18,5488.34184
02/01/19,5556.6
03/01/19,5564.6307
04/01/19,5595.993
07/01/19,5575.86364
08/01/19,5590.8594
09/01/19,5658.2064
10/01/19,5561.7716
11/01/19,5570.67287
14/01/19,5616.2212
15/01/19,5566.419
16/01/19,5559.8634
17/01/19,5550.426
18/01/19,5540.138
21/01/19,5539.13828
22/01/19,5485.5948
23/01/19,5511.5298
24/01/19,5486.17
25/01/19,5494.041
28/01/19,5515.032
29/01/19,5595.5482
30/01/19,5572.71405
31/01/19,5671.8328
01/02/19,5684.7973
04/02/19,5705.2476
05/02/19,5695.2186
06/02/19,5635.278
07/02/19,5624.144
08/02/19,5584.3905
11/02/19,5511.9272
12/02/19,5551.80985
13/02/19,5507.69625
14/02/19,5543.8212
15/02/19,5606.538
18/02/19,5571.04148
19/02/19,5592.059
20/02/19,5525.9982
21/02/19,5478.99335
22/02/19,5508.0539
25/02/19,5480.42658
26/02/19,5502.2384
27/02/19,5527.256
28/02/19,5492.9336
01/03/19,5442.86
06/03/19,5309.9616
07/03/19,5201.20488
08/03/19,5236.19748
11/03/19,5296.7255
12/03/19,5308.21
13/03/19,5309.23444
14/03/19,5228.7337
15/03/19,5248.77393
18/03/19,5265.59625
19/03/19,5267.2248
20/03/19,5286.5115
