Date,China_Cotton_FT_Price,China_Cotton_FT_Open,China_Cotton_FT_High,China_Cotton_FT_Low,China_Cotton_FT_Volume,China_Cotton_FT_Chg
12/01/18,145611.99,142215.36,149648.56,142215.36,3.58,-0.90
15/01/18,147363.65,144304.88,149485.05,144304.88,1.5,0.98
16/01/18,149171.02,149717.44,149717.44,148723.96,0.17,0.54
17/01/18,148634.14,149229.86,149627.02,147988.76,0.2,-0.30
18/01/18,152008.50,149173.26,153699.69,149173.26,1.4,2.07
19/01/18,151999.80,152448.32,152448.32,150305.38,0.3,-0.20
22/01/18,152312.14,150865.83,152810.87,150716.21,0.44,0.13
23/01/18,152462.36,152462.36,153258.76,151616.17,0.35,0.29
24/01/18,152953.58,153653.14,153753.07,151954.21,0.19,-0.07
25/01/18,153871.02,153017.29,154122.11,153017.29,0.06,0.10
26/01/18,154142.18,154594.95,154796.18,153538.49,0.15,0.00
29/01/18,153143.26,153996.28,153996.28,152440.76,0.02,-0.39
30/01/18,151924.05,152276.54,152880.82,151269.42,0.14,-1.15
31/01/18,151325.37,151780.10,151780.10,150971.69,0.03,-0.73
01/02/18,151838.18,151838.18,151838.18,151838.18,0.03,-0.17
02/02/18,152604.12,152604.12,152604.12,152604.12,0,0.30
05/02/18,151989.27,152040.25,152040.25,151938.28,0.06,-0.60
06/02/18,152109.31,152262.65,152262.65,152058.20,0.03,-0.17
07/02/18,152768.21,152511.89,153024.53,152050.51,0.15,0.13
08/02/18,150561.88,150765.14,150866.77,150257.00,0.05,-0.57
09/02/18,150795.15,151152.97,151152.97,150335.10,0.41,-0.44
12/02/18,149689.92,149385.15,149893.09,149385.15,0.01,-0.10
13/02/18,148983.03,149185.73,149185.73,148780.33,0.09,-0.24
14/02/18,148482.27,148128.86,149189.09,148128.86,0.07,0.03
22/02/18,150311.02,150822.63,151231.92,149236.64,0.03,-0.10
23/02/18,151277.45,150920.06,152043.28,150613.73,0.07,0.85
26/02/18,153001.62,153001.62,153001.62,153001.62,0,0.71
27/02/18,153334.33,153334.33,153334.33,153334.33,0,0.00
28/02/18,153934.99,154089.50,154089.50,153677.49,0.17,0.17
01/03/18,153323.74,153323.74,153426.34,153272.45,0.11,0.00
02/03/18,153095.28,152786.93,154174.50,152786.93,0.07,-0.33
05/03/18,153971.93,153101.46,154586.39,153050.25,0.25,0.94
06/03/18,155634.75,155429.02,155840.48,155377.58,0.19,0.63
07/03/18,153648.36,153648.36,153648.36,153648.36,0.12,-0.99
08/03/18,152952.97,152952.97,152952.97,152952.97,0.46,-0.53
09/03/18,153440.26,153440.26,153440.26,153440.26,0.02,0.13
12/03/18,152915.05,152915.05,152915.05,152915.05,0,-0.17
13/03/18,146706.56,146655.26,151836.16,146655.26,0.6,-3.99
14/03/18,146758.04,146758.04,146758.04,146758.04,0,0.00
15/03/18,154145.60,154197.00,154865.19,153477.41,145.8,4.86
16/03/18,153678.32,153678.32,154088.68,153165.38,77.85,-0.10
19/03/18,153929.02,154238.01,154392.50,153568.53,104.92,-0.23
20/03/18,153860.27,153654.37,154169.12,153448.47,106.82,0.00
21/03/18,154569.96,153693.77,155085.36,153642.23,109.68,0.33
22/03/18,154411.93,154309.16,154925.78,153898.08,104.9,0.20
23/03/18,153676.67,154705.64,154911.43,152802.05,196.56,-0.60
26/03/18,154276.17,154689.50,155102.83,153346.17,145.55,-0.03
27/03/18,155149.36,154942.64,155562.82,154425.82,97.58,0.54
28/03/18,153849.48,155091.04,155401.43,152659.66,146.88,-0.93
29/03/18,153372.29,153320.53,153941.68,152906.43,48.11,-0.37
30/03/18,153674.48,153726.37,154297.07,153155.66,44.66,-0.03
02/04/18,153739.70,153791.55,154413.77,153117.48,45.13,0.10
03/04/18,152736.52,153046.54,153201.55,152219.82,36.42,-0.30
04/04/18,151904.57,152420.38,152575.12,151285.61,47.45,-0.37
09/04/18,152320.73,152217.74,153144.64,151960.27,22.36,0.44
10/04/18,152987.60,153142.66,153297.71,152677.49,19.92,0.07
11/04/18,154536.45,154068.00,154952.85,153911.85,37.74,0.30
12/04/18,153950.21,154313.43,154520.98,153535.11,21.28,-0.07
13/04/18,154272.13,153908.16,155052.07,153440.20,39.18,0.00
16/04/18,155211.79,155368.26,155629.03,154846.71,23.31,0.30
17/04/18,155350.90,155716.80,155978.16,154775.91,17.4,-0.13
18/04/18,155281.50,155752.84,155805.21,154914.90,11.91,-0.24
19/04/18,155780.96,155728.50,156043.21,155466.25,17,0.17
20/04/18,156364.00,156206.27,157152.65,155890.81,13.62,0.13
23/04/18,157134.46,156449.89,157450.41,156449.89,11.82,0.34
24/04/18,157008.26,157429.48,157429.48,156587.05,11.58,-0.07
25/04/18,156918.70,157447.58,157447.58,156548.48,10.1,-0.50
26/04/18,156402.44,156191.58,156718.72,156086.15,8.82,0.00
27/04/18,156103.44,156419.02,156734.59,155682.68,14.46,0.03
02/05/18,156336.05,155916.78,156860.14,155602.32,4.03,0.51
03/05/18,157239.10,156871.85,157816.22,156504.59,5.57,0.47
04/05/18,157789.55,157894.56,158262.13,157474.49,4.49,0.27
07/05/18,159657.36,158339.18,160290.08,158233.73,5.95,0.77
08/05/18,159746.98,160168.48,160484.60,159430.86,2.85,0.13
09/05/18,160055.78,160373.36,160373.36,159632.36,1.18,-0.26
10/05/18,160455.17,160031.52,160825.85,159925.61,3.47,0.20
11/05/18,161167.36,161007.84,161858.61,160848.33,5.17,0.03
14/05/18,161727.56,161407.84,161994.00,161407.84,0.64,0.13
15/05/18,161666.82,161613.44,162040.43,160812.85,3.14,-0.20
16/05/18,167216.78,162270.49,169450.60,162270.49,6.14,3.80
17/05/18,168423.89,169434.97,170552.47,165231.02,1.68,0.67
18/05/18,172533.59,168377.44,174771.52,168377.44,4.21,2.31
21/05/18,176703.48,174355.97,179691.22,172808.75,5.83,2.29
