Date,Cotlook_A_index
12/01/18,5937.99
15/01/18,5865.61
16/01/18,5912.25
17/01/18,5883.81
18/01/18,5930.33
19/01/18,5958.53
22/01/18,6012.05
23/01/18,5999.82
24/01/18,5910.83
25/01/18,5897.37
26/01/18,5875.72
29/01/18,5781.24
30/01/18,5658.86
31/01/18,5566.98
01/02/18,5620.64
02/02/18,5710.78
05/02/18,5650.73
06/02/18,5600.86
07/02/18,5589.15
08/02/18,5574.81
09/02/18,5626.38
12/02/18,5627.71
13/02/18,5613.55
14/02/18,5599.14
15/02/18,5549.72
16/02/18,5561.02
19/02/18,5580.11
20/02/18,5633.09
21/02/18,5748.2
22/02/18,5860.75
23/02/18,5772.13
26/02/18,5900.55
27/02/18,5959.66
28/02/18,5979.76
01/03/18,6027.25
02/03/18,5948.06
05/03/18,5946.54
06/03/18,6140.01
07/03/18,5962.47
08/03/18,6002.68
09/03/18,6147.8
12/03/18,6102.09
13/03/18,6005.57
14/03/18,5987.97
15/03/18,6034.32
16/03/18,6034.32
19/03/18,6006.76
20/03/18,5917.81
21/03/18,6025.89
22/03/18,5986.4
23/03/18,5949.83
26/03/18,5902.32
27/03/18,5913.24
28/03/18,5949.11
29/03/18,5857.09
03/04/18,5863
04/04/18,5932.1
05/04/18,5778.45
06/04/18,5976.81
09/04/18,5979.11
10/04/18,6001.38
11/04/18,6056.13
12/04/18,6075.23
13/04/18,6065.45
16/04/18,6065.8
17/04/18,6072.12
18/04/18,6059.38
19/04/18,6040.28
20/04/18,6088.01
23/04/18,6240.51
24/04/18,6189.41
25/04/18,6069.64
26/04/18,6226.23
27/04/18,6225.64
30/04/18,6227.3
01/05/18,6212.4
02/05/18,6218.84
03/05/18,6233.65
04/05/18,6230.97
08/05/18,6353.85
09/05/18,6327.53
10/05/18,6344.57
11/05/18,6271.22
14/05/18,6289.84
15/05/18,6270.17
16/05/18,6238.69
17/05/18,6268.26
18/05/18,6340.07
21/05/18,6433.46
22/05/18,6523.12
23/05/18,6488.31
24/05/18,6454.71
25/05/18,6430.96
29/05/18,6560.13
30/05/18,6791.21
31/05/18,6739.63
01/06/18,6746.4
04/06/18,6757.3
05/06/18,6683.16
06/06/18,6516.9
07/06/18,6674.58
08/06/18,6844.17
11/06/18,6838.08
12/06/18,6791.86
13/06/18,6879.5
14/06/18,6867.15
15/06/18,6904.69
18/06/18,6725.75
19/06/18,6622.65
20/06/18,6329.58
21/06/18,6346.06
22/06/18,6352.63
25/06/18,6450.49
26/06/18,6457.55
27/06/18,6448.73
28/06/18,6484.73
29/06/18,6383.9
02/07/18,6442.5
03/07/18,6364.87
04/07/18,6377.87
05/07/18,6395.51
06/07/18,6336.94
09/07/18,6495.24
10/07/18,6572.98
11/07/18,6629.01
12/07/18,6471.71
13/07/18,6743.83
16/07/18,6697.34
17/07/18,6685.61
18/07/18,6738.98
19/07/18,6760.51
20/07/18,6698.71
23/07/18,6674.52
24/07/18,6667.17
25/07/18,6646.19
26/07/18,6725.25
27/07/18,6723.29
30/07/18,6723.29
31/07/18,6757
01/08/18,6800.83
02/08/18,6742.41
03/08/18,6768.82
06/08/18,6745.34
07/08/18,6742.9
08/08/18,6718.38
09/08/18,6683.47
10/08/18,6703
13/08/18,6669.41
14/08/18,6488.79
15/08/18,6495.57
16/08/18,6360.67
17/08/18,6431.68
20/08/18,6378.06
21/08/18,6465.54
22/08/18,6501.4
23/08/18,6460.18
24/08/18,6395.26
28/08/18,6522.81
29/08/18,6580.92
30/08/18,6554.52
31/08/18,6543.11
03/09/18,6562.46
04/09/18,6596.56
05/09/18,6640.93
06/09/18,6587.02
07/09/18,6532.89
10/09/18,6644.12
11/09/18,6784.58
12/09/18,6667.58
13/09/18,6638.21
14/09/18,6548.27
17/09/18,6622.9
18/09/18,6602.07
19/09/18,6378.53
20/09/18,6358.92
21/09/18,6364.34
24/09/18,6442.2
25/09/18,6399.91
26/09/18,6421.47
27/09/18,6382.53
28/09/18,6322.87
01/10/18,6271.55
02/10/18,6260.61
03/10/18,6293
04/10/18,6328.5
05/10/18,6296.27
08/10/18,6325.15
09/10/18,6456.43
