Date,Ind_Cotton_FT_Price,Ind_Cotton_FT_Open,Ind_Cotton_FT_High,Ind_Cotton_FT_Low,Ind_Cotton_FT_Volume,Ind_Cotton_FT_Chg
12/01/18,43336.00,43608.00,44278.00,42981.00,7.24,-0.10
15/01/18,43106.00,43253.00,43295.00,43023.00,1.69,-0.53
16/01/18,43274.00,43044.00,43504.00,42835.00,3.38,0.39
17/01/18,43253.00,43169.00,43441.00,43086.00,1.7,-0.05
18/01/18,43525.00,43567.00,44006.00,43441.00,3.72,0.63
19/01/18,43818.00,43399.00,43901.00,43357.00,2.75,0.67
22/01/18,43525.00,43880.00,43964.00,43483.00,2.18,-0.67
23/01/18,43106.00,43650.00,43671.00,43023.00,1.69,-0.96
24/01/18,42479.00,43086.00,43127.00,42374.00,3.5,-1.46
25/01/18,42625.00,42500.00,42835.00,42500.00,2.82,0.34
29/01/18,41621.00,42333.00,42333.00,41538.00,1.76,-2.36
30/01/18,41454.00,41517.00,41998.00,41370.00,1.07,-0.40
31/01/18,41099.00,41454.00,41559.00,40764.00,0.52,-0.86
01/02/18,42458.00,42061.00,42604.00,41872.00,3.52,3.31
02/02/18,42165.00,42542.00,42772.00,42082.00,3.87,-0.69
05/02/18,41914.00,42144.00,42165.00,41684.00,2.06,-0.60
06/02/18,41370.00,41663.00,41726.00,41308.00,2.71,-1.30
07/02/18,41789.00,41454.00,41831.00,41433.00,1.94,1.01
08/02/18,42207.00,41705.00,42374.00,41580.00,3.21,1.00
09/02/18,41872.00,42165.00,42458.00,41831.00,3.34,-0.79
12/02/18,41747.00,42165.00,42165.00,41642.00,2.08,-0.30
13/02/18,41642.00,41726.00,41768.00,41580.00,0.51,-0.25
14/02/18,41266.00,41538.00,41621.00,41140.00,2.49,-0.90
15/02/18,40910.00,41391.00,41475.00,40785.00,2.56,-0.86
16/02/18,40806.00,40868.00,41078.00,40597.00,2.19,-0.26
19/02/18,40659.00,40889.00,40973.00,40576.00,2.94,-0.36
20/02/18,41621.00,40785.00,41831.00,40701.00,3.92,2.37
21/02/18,41852.00,41810.00,42270.00,41684.00,3.73,0.55
22/02/18,41893.00,41977.00,42123.00,41852.00,2.44,0.10
23/02/18,41831.00,41935.00,41956.00,41538.00,2.08,-0.15
26/02/18,42312.00,42040.00,42563.00,42019.00,1.84,1.15
27/02/18,42186.00,42333.00,42437.00,42061.00,0.84,-0.30
28/02/18,42584.00,42291.00,43086.00,42207.00,0.73,0.94
01/03/18,43044.00,43148.00,43587.00,42939.00,3.52,1.08
02/03/18,43127.00,43127.00,43399.00,43086.00,0.59,0.19
05/03/18,43629.00,43274.00,43818.00,43211.00,2.56,1.16
06/03/18,43608.00,44424.00,44508.00,43378.00,4.96,-0.05
07/03/18,43316.00,43295.00,43546.00,43127.00,3.35,-0.67
08/03/18,43838.00,43399.00,43901.00,43399.00,2.66,1.21
09/03/18,43797.00,43734.00,43985.00,43671.00,2.23,-0.10
12/03/18,43169.00,43755.00,43901.00,43086.00,2.37,-1.43
13/03/18,43211.00,43106.00,43378.00,42918.00,2.26,0.10
14/03/18,42897.00,43253.00,43378.00,42835.00,3.28,-0.73
15/03/18,42730.00,42981.00,43106.00,42667.00,2.33,-0.39
16/03/18,42542.00,42709.00,42918.00,42479.00,2.26,-0.44
19/03/18,41872.00,42437.00,42584.00,41768.00,3.71,-1.57
20/03/18,42123.00,41726.00,42395.00,41517.00,3.35,0.60
21/03/18,42542.00,42353.00,42625.00,42228.00,2.08,0.99
22/03/18,42165.00,42374.00,42458.00,42102.00,1.59,-0.88
23/03/18,41831.00,42102.00,42228.00,41810.00,1.83,-0.79
26/03/18,42040.00,41789.00,42082.00,41684.00,2.21,0.50
27/03/18,42270.00,42123.00,42437.00,42019.00,1.8,0.55
28/03/18,42228.00,42249.00,42542.00,42040.00,0.75,-0.10
29/03/18,42730.00,42730.00,42730.00,42730.00,0,1.19
02/04/18,43127.00,42876.00,43295.00,42876.00,1.98,0.93
03/04/18,43106.00,43316.00,43316.00,42939.00,1.15,-0.05
04/04/18,42521.00,43169.00,43253.00,42144.00,4.2,-1.36
05/04/18,42855.00,42521.00,42918.00,42479.00,1.67,0.79
06/04/18,43127.00,43044.00,43253.00,42876.00,1.76,0.63
09/04/18,43211.00,43211.00,43253.00,42939.00,0.9,0.19
10/04/18,43357.00,43232.00,43483.00,43065.00,1.44,0.34
11/04/18,43441.00,43357.00,43504.00,43232.00,1.49,0.19
12/04/18,43462.00,43441.00,43692.00,43399.00,2.05,0.05
13/04/18,43650.00,43587.00,43797.00,43462.00,1.24,0.43
