Date,Output
01/02/18,40500.00
02/02/18,41000.00
03/02/18,40850.00
05/02/18,40700.00
06/02/18,40650.00
07/02/18,40600.00
08/02/18,40750.00
09/02/18,40900.00
10/02/18,40900.00
12/02/18,40900.00
13/02/18,40950.00
14/02/18,40700.00
15/02/18,40650.00
16/02/18,40600.00
17/02/18,40500.00
19/02/18,40500.00
20/02/18,40550.00
21/02/18,41000.00
22/02/18,41150.00
23/02/18,40950.00
24/02/18,41250.00
26/02/18,41450.00
27/02/18,41400.00
28/02/18,41550.00
01/03/18,41800.00
03/03/18,41600.00
05/03/18,41750.00
06/03/18,42350.00
07/03/18,41750.00
08/03/18,41800.00
09/03/18,42050.00
10/03/18,41950.00
12/03/18,41800.00
13/03/18,41550.00
14/03/18,41400.00
15/03/18,41200.00
16/03/18,41000.00
17/03/18,40900.00
19/03/18,40850.00
20/03/18,40650.00
21/03/18,40900.00
22/03/18,40950.00
23/03/18,40900.00
24/03/18,40850.00
26/03/18,40800.00
27/03/18,40950.00
28/03/18,41150.00
29/03/18,41050.00
30/03/18,41150.00
31/03/18,41150.00
02/04/18,41350.00
03/04/18,41400.00
04/04/18,41150.00
05/04/18,41200.00
06/04/18,41550.00
07/04/18,41550.00
09/04/18,41800.00
10/04/18,41750.00
11/04/18,41750.00
12/04/18,41800.00
13/04/18,41850.00
14/04/18,41900.00
16/04/18,42000.00
17/04/18,42100.00
18/04/18,42000.00
19/04/18,41900.00
20/04/18,42000.00
21/04/18,42150.00
23/04/18,42250.00
24/04/18,42100.00
25/04/18,41850.00
26/04/18,42000.00
27/04/18,42100.00
28/04/18,42000.00
30/04/18,41900.00
01/05/18,41850.00
02/05/18,41950.00
03/05/18,42100.00
04/05/18,42100.00
05/05/18,42200.00
07/05/18,42500.00
08/05/18,42450.00
09/05/18,42150.00
10/05/18,42150.00
11/05/18,41950.00
12/05/18,41950.00
14/05/18,41850.00
15/05/18,41700.00
16/05/18,41900.00
17/05/18,42100.00
18/05/18,42200.00
19/05/18,42300.00
21/05/18,42650.00
22/05/18,43050.00
23/05/18,42900.00
